year;row;raw;from;to;precision;style;status
1918;61;10 мая;1918-05-10;1918-05-10;day;single;ok
1918;62;11 мая;1918-05-11;1918-05-11;day;single;ok
1918;63;11 мая;1918-05-11;1918-05-11;day;single;ok
1918;64;13 мая;1918-05-13;1918-05-13;day;single;ok
1918;65;16 мая;1918-05-16;1918-05-16;day;single;ok
1918;66;18 мая;1918-05-18;1918-05-18;day;single;ok
1918;67;25 мая;1918-05-25;1918-05-25;day;single;ok
1918;68;26 мая;1918-05-26;1918-05-26;day;single;ok
1918;69;27 мая;1918-05-27;1918-05-27;day;single;ok
1918;70;29 мая;1918-05-29;1918-05-29;day;single;ok
1918;71;30 мая;1918-05-30;1918-05-30;day;single;ok
1918;72;Май–июнь;1918-05-01;1918-06-30;month;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1918;73;8 июня;1918-06-08;1918-06-08;day;single;ok
1918;74;11 июня;1918-06-11;1918-06-11;day;single;ok
1918;75;14 июня;1918-06-14;1918-06-14;day;single;ok
1918;76;18 июня;1918-06-18;1918-06-18;day;single;ok
1918;77;20 июня;1918-06-20;1918-06-20;day;single;ok
1918;78;28 июня;1918-06-28;1918-06-28;day;single;ok
1918;79;30 июня;1918-06-30;1918-06-30;day;single;ok
1918;80;3 июля;1918-07-03;1918-07-03;day;single;ok
1918;81;6 июля;1918-07-06;1918-07-06;day;single;ok
1918;82;6–21 июля;1918-07-06;1918-07-21;day;single;ok
1918;83;7 июля;1918-07-07;1918-07-07;day;single;ok
1918;84;7 июля;1918-07-07;1918-07-07;day;single;ok
1918;85;10 июля;1918-07-10;1918-07-10;day;single;ok
1918;86;11–12 июля;1918-07-11;1918-07-12;day;single;ok
1918;87;17 июля;1918-07-17;1918-07-17;day;single;ok
1918;88;18 июля;1918-07-18;1918-07-18;day;single;ok
1918;89;21 июля;1918-07-21;1918-07-21;day;single;ok
1918;90;26 июля;1918-07-26;1918-07-26;day;single;ok
1918;91;Конец июля;1918-07-21;1918-07-31;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1918;92;Начало августа;1918-08-01;1918-08-10;decade;single;ok
1918;93;2 августа;1918-08-02;1918-08-02;day;single;ok
1918;94;4 августа;1918-08-04;1918-08-04;day;single;ok
1918;95;6 августа;1918-08-06;1918-08-06;day;single;ok
1918;96;8 августа;1918-08-08;1918-08-08;day;single;ok
1918;97;19 августа;1918-08-19;1918-08-19;day;single;ok
1918;98;23 августа;1918-08-23;1918-08-23;day;single;ok
1918;99;26 августа;1918-08-26;1918-08-26;day;single;ok
1918;100;30 августа;1918-08-30;1918-08-30;day;single;ok
1918;101;31 августа;1918-08-31;1918-08-31;day;single;ok
1918;102;2 сентября;1918-09-02;1918-09-02;day;single;ok
1918;103;5 сентября;1918-09-05;1918-09-05;day;single;ok
1918;104;5 сентября;1918-09-05;1918-09-05;day;single;ok
1918;105;6 сентября;1918-09-06;1918-09-06;day;single;ok
1918;106;12 сентября;1918-09-12;1918-09-12;day;single;ok
1918;107;15 сентября;1918-09-15;1918-09-15;day;single;ok
1918;108;22 сентября;1918-09-22;1918-09-22;day;single;ok
1918;109;Конец сентября;1918-09-21;1918-09-30;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1918;110;Сентябрь–октябрь;1918-09-01;1918-10-31;month;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1918;111;8–23 сентября;1918-09-08;1918-09-23;day;single;ok
1918;112;7 октября;1918-10-07;1918-10-07;day;single;ok
1918;113;10 октября;1918-10-10;1918-10-10;day;single;ok
1918;114;17 октября;1918-10-17;1918-10-17;day;single;ok
1918;115;22 октября;1918-10-22;1918-10-22;day;single;ok
1918;116;26 октября;1918-10-26;1918-10-26;day;single;ok
1918;117;30 октября;1918-10-30;1918-10-30;day;single;ok
1918;118;3 ноября;1918-11-03;1918-11-03;day;single;ok
1918;119;11 ноября;1918-11-11;1918-11-11;day;single;ok
1918;120;13 ноября;1918-11-13;1918-11-13;day;single;ok
1918;121;14 ноября;1918-11-14;1918-11-14;day;single;ok
1918;122;14 ноября;1918-11-14;1918-11-14;day;single;ok
1918;123;15 ноября;1918-11-15;1918-11-15;day;single;ok
1918;124;18 ноября;1918-11-18;1918-11-18;day;single;ok
1918;125;18 ноября;1918-11-18;1918-11-18;day;single;ok
1918;126;23 ноября;1918-11-23;1918-11-23;day;single;ok
1918;127;28 ноября;1918-11-28;1918-11-28;day;single;ok
1918;128;Ноябрь;1918-11-01;1918-11-30;month;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1918;129;Ноябрь – декабрь;1918-11-01;1918-12-31;month;single;ok
1918;130;Ноябрь – январь 1919 г.;1918-11-01;1919-01-31;month;single;ok
1918;131;29 ноября;1918-11-29;1918-11-29;day;single;ok
1918;132;30 ноября;1918-11-30;1918-11-30;day;single;ok
1918;133;5 декабря;1918-12-05;1918-12-05;day;single;ok
1918;134;14 декабря;1918-12-14;1918-12-14;day;single;ok
1918;135;16 декабря;1918-12-16;1918-12-16;day;single;ok
1918;136;17 декабря;1918-12-17;1918-12-17;day;single;ok
1918;137;22 декабря;1918-12-22;1918-12-22;day;single;ok
1918;138;24 декабря;1918-12-24;1918-12-24;day;single;ok
1918;139;28 декабря;1918-12-28;1918-12-28;day;single;ok
1919;1;Январь;1919-01-01;1919-01-31;month;single;ok
1919;2;1 января;1919-01-01;1919-01-01;day;single;ok
1919;3;3 января;1919-01-03;1919-01-03;day;single;ok
1919;4;6 января;1919-01-06;1919-01-06;day;single;ok
1919;5;8 января;1919-01-08;1919-01-08;day;single;ok
1919;6;10–12 января;1919-01-10;1919-01-12;day;single;ok
1919;7;11 января;1919-01-11;1919-01-11;day;single;ok
1919;8;11 января;1919-01-11;1919-01-11;day;single;ok
1919;9;11 января;1919-01-11;1919-01-11;day;single;ok
1919;10;13 января;1919-01-13;1919-01-13;day;single;ok
1919;11;15 января;1919-01-15;1919-01-15;day;single;ok
1919;12;16 января;1919-01-16;1919-01-16;day;single;ok
1919;13;19–25 января;1919-01-19;1919-01-25;day;single;ok
1919;14;19–28 января;1919-01-19;1919-01-28;day;single;ok
1919;15;22 января;1919-01-22;1919-01-22;day;single;ok
1919;16;31 января;1919-01-31;1919-01-31;day;single;ok
1919;17;Январь–начало февраля;1919-01-01;1919-02-10;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1919;18;Январь–февраль;1919-01-01;1919-02-28;month;single;ok
1919;19;5 февраля;1919-02-05;1919-02-05;day;single;ok
1919;20;11 февраля;1919-02-11;1919-02-11;day;single;ok
1919;21;Середина февраля;1919-02-11;1919-02-20;decade;single;ok
1919;22;15 февраля;1919-02-15;1919-02-15;day;single;ok
1919;23;16–18 февраля;1919-02-16;1919-02-18;day;single;ok
1919;24;27 февраля;1919-02-27;1919-02-27;day;single;ok
1919;25;2–6 марта;1919-03-02;1919-03-06;day;single;ok
1919;26;3 марта;1919-03-03;1919-03-03;day;single;ok
1919;27;4 марта;1919-03-04;1919-03-04;day;single;ok
1919;28;10 марта;1919-03-10;1919-03-10;day;single;ok
1919;29;11 марта – 8 июня;1919-03-11;1919-06-08;day;single;ok
1919;30;13 марта;1919-03-13;1919-03-13;day;single;ok
1919;31;16 марта;1919-03-16;1919-03-16;day;single;ok
1919;32;18–23 марта;1919-03-18;1919-03-23;day;single;ok
1919;33;20 марта;1919-03-20;1919-03-20;day;single;ok
1919;34;23 марта;1919-03-23;1919-03-23;day;single;ok
1919;35;Апрель;1919-04-01;1919-04-30;month;single;ok
1919;36;5–13 апреля;1919-04-05;1919-04-13;day;single;ok
1919;37;6 апреля;1919-04-06;1919-04-06;day;single;ok
